country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
"Argentina,1985,male,75+ years,202,363000,55.65,Argentina1985,0.694,""88,416,668,900"",3264,G.I. Generation"
"Argentina,1985,male,55-74 years,485,1997000,24.29,Argentina1985,0.694,""88,416,668,900"",3264,G.I. Generation"
"Argentina,1985,male,35-54 years,414,3346300,12.37,Argentina1985,0.694,""88,416,668,900"",3264,Silent"
"Argentina,1985,female,55-74 years,210,2304000,9.11,Argentina1985,0.694,""88,416,668,900"",3264,G.I. Generation"
"Argentina,1985,male,25-34 years,177,2234200,7.92,Argentina1985,0.694,""88,416,668,900"",3264,Boomers"
"Argentina,1985,female,75+ years,41,537000,7.64,Argentina1985,0.694,""88,416,668,900"",3264,G.I. Generation"
"Argentina,1985,male,15-24 years,156,2415200,6.46,Argentina1985,0.694,""88,416,668,900"",3264,Generation X"
"Argentina,1985,female,35-54 years,142,3355300,4.23,Argentina1985,0.694,""88,416,668,900"",3264,Silent"
"Argentina,1985,female,25-34 years,65,2185200,2.97,Argentina1985,0.694,""88,416,668,900"",3264,Boomers"
"Argentina,1985,female,15-24 years,69,2354200,2.93,Argentina1985,0.694,""88,416,668,900"",3264,Generation X"
"Argentina,1985,male,5-14 years,16,3044200,0.53,Argentina1985,0.694,""88,416,668,900"",3264,Generation X"
"Argentina,1985,female,5-14 years,11,2955200,0.37,Argentina1985,0.694,""88,416,668,900"",3264,Generation X"
"Argentina,1986,male,75+ years,230,365000,63.01,Argentina1986,,""110,934,442,763"",4072,G.I. Generation"
"Argentina,1986,male,55-74 years,530,2008300,26.39,Argentina1986,,""110,934,442,763"",4072,G.I. Generation"
"Argentina,1986,male,35-54 years,478,3365200,14.2,Argentina1986,,""110,934,442,763"",4072,Silent"
"Argentina,1986,male,25-34 years,209,2246900,9.3,Argentina1986,,""110,934,442,763"",4072,Boomers"
"Argentina,1986,female,75+ years,48,540200,8.89,Argentina1986,,""110,934,442,763"",4072,G.I. Generation"
"Argentina,1986,female,55-74 years,201,2317100,8.67,Argentina1986,,""110,934,442,763"",4072,G.I. Generation"
"Argentina,1986,male,15-24 years,186,2428900,7.66,Argentina1986,,""110,934,442,763"",4072,Generation X"
"Argentina,1986,female,35-54 years,188,3374300,5.57,Argentina1986,,""110,934,442,763"",4072,Silent"
"Argentina,1986,female,25-34 years,96,2197600,4.37,Argentina1986,,""110,934,442,763"",4072,Boomers"
"Argentina,1986,female,15-24 years,101,2367600,4.27,Argentina1986,,""110,934,442,763"",4072,Generation X"
"Argentina,1986,male,5-14 years,10,3061400,0.33,Argentina1986,,""110,934,442,763"",4072,Generation X"
"Argentina,1986,female,5-14 years,7,2971900,0.24,Argentina1986,,""110,934,442,763"",4072,Generation X"
